'port','type','validation_time','update_duration','repo_fetch'
7001,'ipfs','1900-01-01 07:10:55','0.152739300','0.053'
7002,'ipfs','1900-01-01 07:11:01','0.094202700','0.046'
7003,'ipfs','1900-01-01 07:10:55','0.185240600','0.050'
7004,'ipfs','1900-01-01 07:11:04','0.140186800','0.054'
7005,'ipfs','1900-01-01 07:11:05','0.195552800','0.057'
7001,'ipfs','1900-01-01 07:11:05','0.177720','0.073'
7003,'ipfs','1900-01-01 07:11:06','0.159928100','0.066'
7003,'ipfs','1900-01-01 07:11:05','0.159928100','0.066'
7002,'ipfs','1900-01-01 07:11:12','0.585842100','0.045'
7004,'ipfs','1900-01-01 07:11:14','0.470617','0.050'
7005,'ipfs','1900-01-01 07:11:15','0.485644500','0.087'
7001,'ipfs','1900-01-01 07:11:16','0.731423500','0.227'
7003,'ipfs','1900-01-01 07:11:16','0.814722','0.094'
7002,'ipfs','1900-01-01 07:11:22','0.130383400','0.039'
7004,'ipfs','1900-01-01 07:11:24','0.173522900','0.053'
7005,'ipfs','1900-01-01 07:11:25','0.167142500','0.059'
7001,'ipfs','1900-01-01 07:11:26','0.231900400','0.054'
7003,'ipfs','1900-01-01 07:11:26','0.181085100','0.048'
7002,'ipfs','1900-01-01 07:11:32','0.166087800','0.066'
